date,site,PM10,PM25,month,year,days_per_month
2015-12-27T11:00:00Z,Ashburton,17.1,8,12,2015,31
2015-12-28T11:00:00Z,Ashburton,13.2,4.9,12,2015,31
2015-12-29T11:00:00Z,Ashburton,13.5,5.5,12,2015,31
2015-12-30T11:00:00Z,Ashburton,12.1,4.6,12,2015,31
2015-12-31T11:00:00Z,Ashburton,15.4,6.6,1,2016,31
2016-01-01T11:00:00Z,Ashburton,13.4,6.7,1,2016,31
2016-01-02T11:00:00Z,Ashburton,9.8,4.2,1,2016,31
2016-01-03T11:00:00Z,Ashburton,8,2.8,1,2016,31
2016-01-04T11:00:00Z,Ashburton,12.2,4.5,1,2016,31
2016-01-05T11:00:00Z,Ashburton,16.3,6.5,1,2016,31
2016-01-06T11:00:00Z,Ashburton,15.7,6.4,1,2016,31
2016-01-07T11:00:00Z,Ashburton,16.1,6.4,1,2016,31
2016-01-08T11:00:00Z,Ashburton,20.7,6.1,1,2016,31
2016-01-09T11:00:00Z,Ashburton,22,6.6,1,2016,31
2016-01-10T11:00:00Z,Ashburton,20.7,7.5,1,2016,31
2016-01-11T11:00:00Z,Ashburton,27.5,10.4,1,2016,31
2016-01-12T11:00:00Z,Ashburton,14,4.7,1,2016,31
2016-01-13T11:00:00Z,Ashburton,19.4,6.5,1,2016,31
2016-01-14T11:00:00Z,Ashburton,19,3.5,1,2016,31
2016-01-15T11:00:00Z,Ashburton,6.8,3.4,1,2016,31
2016-01-16T11:00:00Z,Ashburton,5.9,3.5,1,2016,31
2016-01-17T11:00:00Z,Ashburton,4.9,3.8,1,2016,31
2016-01-18T11:00:00Z,Ashburton,3.8,2.5,1,2016,31
2016-01-19T11:00:00Z,Ashburton,8.5,NA,1,2016,31
2016-01-20T11:00:00Z,Ashburton,12.7,NA,1,2016,31
2016-01-21T11:00:00Z,Ashburton,9.7,NA,1,2016,31
2016-01-22T11:00:00Z,Ashburton,12.2,NA,1,2016,31
2016-01-23T11:00:00Z,Ashburton,10.8,NA,1,2016,31
2016-01-24T11:00:00Z,Ashburton,10.7,NA,1,2016,31
2016-01-25T11:00:00Z,Ashburton,6,NA,1,2016,31
2016-01-26T11:00:00Z,Ashburton,4.6,2.9,1,2016,31
2016-01-27T11:00:00Z,Ashburton,4.4,2.3,1,2016,31
2016-01-28T11:00:00Z,Ashburton,5.7,2.2,1,2016,31
2016-01-29T11:00:00Z,Ashburton,8,3.8,1,2016,31
